Vivado Simulator 2018.3
Time resolution is 1 ps
address = 00, data = 00, read_en = 0, ce = 0
address = 00, data = 00, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 01, data = 01, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 02, data = 02, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 03, data = 03, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 04, data = 04, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 05, data = 05, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 06, data = 06, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 07, data = 07, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 08, data = 08, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 09, data = 09, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 0a, data = 0a, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 0b, data = 0b, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 0c, data = 0c, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 0d, data = 0d, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 0e, data = 0e, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 0f, data = 0f, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 10, data = 10, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 11, data = 11, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 12, data = 12, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 13, data = 13, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 14, data = 14, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 15, data = 15, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 16, data = 16, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 17, data = 17, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 18, data = 18, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 19, data = 19, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 1a, data = 1a, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 1b, data = 1b, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 1c, data = 1c, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 1d, data = 1d, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 1e, data = 1e, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 1f, data = 1f, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 20, data = 20, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 21, data = 21, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 22, data = 22, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 23, data = 23, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 24, data = 24, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 25, data = 25, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 26, data = 26, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 27, data = 27, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 28, data = 28, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 29, data = 29, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 2a, data = 2a, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 2b, data = 2b, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 2c, data = 2c, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 2d, data = 2d, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 2e, data = 2e, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 2f, data = 2f, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 30, data = 30, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 31, data = 31, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 32, data = 32, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 33, data = 33, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 34, data = 34, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 35, data = 35, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 36, data = 36, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 37, data = 37, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 38, data = 38, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 39, data = 39, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 3a, data = 3a, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 3b, data = 3b, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 3c, data = 3c, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 3d, data = 3d, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 3e, data = 3e, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 3f, data = 3f, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 40, data = 40, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 41, data = 41, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 42, data = 42, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 43, data = 43, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 44, data = 44, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 45, data = 45, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 46, data = 46, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 47, data = 47, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 48, data = 48, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 49, data = 49, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 4a, data = 4a, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 4b, data = 4b, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 4c, data = 4c, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 4d, data = 4d, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 4e, data = 4e, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 4f, data = 4f, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 50, data = 50, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 51, data = 51, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 52, data = 52, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 53, data = 53, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 54, data = 54, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 55, data = 55, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 56, data = 56, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 57, data = 57, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 58, data = 58, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 59, data = 59, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 5a, data = 5a, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 5b, data = 5b, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 5c, data = 5c, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 5d, data = 5d, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 5e, data = 5e, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 5f, data = 5f, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 60, data = 60, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 61, data = 61, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
address = 62, data = 62, read_en = 1, ce = 1
address = 00, data = 00, read_en = 0, ce = 0
