Vivado Simulator 2018.3
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module myRom_tb.U.inst.native_mem_module.blk_mem_gen_v8_4_2_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
address = 0000, data = 00, clk = 0
address = 0258, data = 00, clk = 0
address = 0258, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 0262, data = 00, clk = 1
address = 0262, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 026c, data = 00, clk = 0
address = 026c, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 0276, data = 00, clk = 1
address = 0276, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0280, data = 00, clk = 0
address = 0280, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 028a, data = 00, clk = 1
address = 028a, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0294, data = 00, clk = 0
address = 0294, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 029e, data = 00, clk = 1
address = 029e, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 02a8, data = 00, clk = 0
address = 02a8, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 02b2, data = 00, clk = 1
address = 02b2, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 02bc, data = 00, clk = 0
address = 02bc, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 02c6, data = 00, clk = 1
address = 02c6, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 02d0, data = 00, clk = 0
address = 02d0, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 02da, data = 00, clk = 1
address = 02da, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 02e4, data = 00, clk = 0
address = 02e4, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 02ee, data = 00, clk = 1
address = 02ee, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 02f8, data = 00, clk = 0
address = 02f8, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 0302, data = 00, clk = 1
address = 0302, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 030c, data = 00, clk = 0
address = 030c, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 0316, data = 00, clk = 1
address = 0316, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0320, data = 00, clk = 0
address = 0320, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 032a, data = 00, clk = 1
address = 032a, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0334, data = 00, clk = 0
address = 0334, data = 00, clk = 1
address = 0000, data = 00, clk = 1
address = 033e, data = 00, clk = 1
address = 033e, data = 00, clk = 0
address = 0000, data = 00, clk = 0
address = 0348, data = 00, clk = 0
